Timestamp,Steps,Avg_Reward_50,Epsilon,Done_Count
11:32:11,55113,19.2350,0.0538,0
11:32:16,55144,7.5520,0.0538,0
11:32:21,55190,20.5310,0.0538,0
11:32:26,55236,14.2320,0.0538,0
11:32:31,55261,6.4950,0.0538,0
11:32:36,55307,21.3720,0.0538,0
11:32:41,55353,10.1150,0.0537,0
11:32:47,55378,1.2330,0.0537,0
11:32:52,55403,5.7700,0.0537,0
11:32:58,55440,10.9390,0.0537,0
11:33:03,55486,15.0080,0.0537,0
11:33:08,55532,10.6730,0.0537,0
11:33:15,55571,15.2230,0.0537,0
11:33:20,55617,19.0120,0.0537,0
11:33:26,55653,7.1900,0.0536,0
11:33:31,55699,20.9970,0.0536,0
11:33:36,55745,15.1020,0.0536,0
11:33:41,55770,14.4900,0.0536,0
11:33:48,55806,18.9460,0.0536,0
11:33:53,55852,18.3810,0.0536,0
11:33:58,55898,13.5340,0.0535,0
11:34:03,55923,6.1480,0.0535,0
11:34:08,55948,7.6410,0.0535,0
11:34:13,55994,20.1440,0.0535,0
11:34:18,56019,9.4210,0.0535,0
11:34:23,56044,10.6750,0.0535,0
11:34:28,56090,21.6760,0.0535,0
11:34:35,56134,16.2380,0.0535,0
11:34:40,56180,18.1320,0.0535,0
11:34:45,56226,17.2150,0.0534,0
11:34:50,56251,11.6520,0.0534,0
11:34:55,56297,19.0850,0.0534,0
11:35:01,56329,10.7310,0.0534,0
11:35:06,56375,17.5470,0.0534,0
11:35:11,56400,10.9740,0.0534,0
11:35:16,56446,24.5340,0.0534,0
11:35:22,56475,8.0240,0.0534,0
11:35:27,56521,22.7140,0.0533,0
11:35:34,56565,16.5160,0.0533,0
11:35:39,56611,18.0730,0.0533,0
11:35:46,56648,8.1990,0.0533,0
11:35:51,56694,16.6290,0.0533,0
11:35:56,56719,12.1980,0.0533,0
11:36:01,56765,17.8910,0.0533,0
11:36:08,56808,17.9960,0.0532,0
11:36:13,56854,16.5950,0.0532,0
11:36:18,56900,17.4500,0.0532,0
11:36:23,56924,6.6030,0.0532,0
11:36:28,56970,17.5170,0.0532,0
11:36:33,57016,14.7650,0.0532,0
11:36:38,57041,8.2020,0.0532,0
11:36:43,57087,18.3420,0.0532,0
11:36:48,57112,9.2040,0.0531,0
11:36:53,57158,21.7040,0.0531,0
11:36:58,57204,11.1000,0.0531,0
11:37:03,57229,8.4410,0.0531,0
11:37:08,57275,19.0040,0.0531,0
11:37:14,57321,12.3890,0.0531,0
11:37:19,57346,10.3820,0.0531,0
11:37:24,57392,20.0010,0.0531,0
11:37:30,57430,6.7580,0.0530,0
11:37:35,57454,5.1210,0.0530,0
11:37:40,57479,4.8220,0.0530,0
11:37:45,57525,18.0600,0.0530,0
11:37:50,57550,8.5930,0.0530,0
11:37:55,57596,21.9860,0.0530,0
11:38:00,57620,11.2850,0.0530,0
11:38:05,57666,19.8960,0.0530,0
11:38:12,57701,17.3280,0.0530,0
11:38:17,57747,19.9750,0.0530,0
11:38:22,57772,10.6280,0.0529,0
11:38:27,57818,20.2100,0.0529,0
11:38:32,57843,11.2420,0.0529,0
11:38:39,57888,19.8620,0.0529,0
11:38:44,57934,16.8290,0.0529,0
11:38:49,57980,14.1600,0.0529,0
11:38:54,58005,9.9760,0.0529,0
11:38:59,58051,20.4320,0.0529,0
11:39:05,58076,5.5860,0.0529,0
11:39:10,58122,20.8880,0.0528,0
11:39:15,58152,15.1810,0.0528,0
11:39:20,58198,13.0870,0.0528,0
11:39:25,58244,5.1760,0.0528,0
11:39:30,58269,-0.0470,0.0528,0
11:39:37,58311,4.3300,0.0528,0
11:39:43,58338,4.8450,0.0528,0
11:39:48,58384,18.6200,0.0528,0
11:39:53,58409,8.9410,0.0528,0
11:40:00,58450,20.8140,0.0527,0
11:40:05,58496,17.5230,0.0527,0
11:40:10,58542,19.6060,0.0527,0
11:40:15,58567,12.6690,0.0527,0
11:40:20,58613,15.7210,0.0527,0
11:40:25,58659,11.1840,0.0527,0
11:40:30,58684,9.1110,0.0527,0
11:40:35,58730,19.0070,0.0527,0
11:40:40,58776,12.7260,0.0527,0
11:40:45,58801,10.2660,0.0527,0
11:40:51,58837,16.2440,0.0526,0
11:40:56,58883,20.4620,0.0526,0
11:41:02,58916,11.3170,0.0526,0
11:41:07,58962,15.6590,0.0526,0
11:41:13,58987,7.9810,0.0526,0
11:41:18,59033,24.2300,0.0526,0
11:41:23,59058,13.9380,0.0526,0
11:41:28,59104,20.2840,0.0526,0
11:41:33,59150,15.0540,0.0526,1
11:41:38,59175,4.5580,0.0526,0
11:41:43,59221,17.4620,0.0525,0
11:41:48,59267,10.1720,0.0525,0
11:41:53,59292,7.8830,0.0525,0
11:41:58,59338,15.4150,0.0525,0
11:42:03,59384,18.5720,0.0525,0
11:42:08,59408,10.8750,0.0525,0
11:42:13,59454,20.9600,0.0525,0
11:42:18,59482,14.2620,0.0525,0
11:42:23,59528,20.6510,0.0525,0
11:42:28,59552,3.9730,0.0525,0
11:42:34,59598,18.6880,0.0525,0
11:42:39,59644,15.2020,0.0524,0
11:42:44,59669,6.3040,0.0524,0
11:42:49,59695,9.7340,0.0524,0
11:42:54,59741,15.9310,0.0524,0
11:42:59,59766,8.0380,0.0524,0
11:43:04,59812,18.1930,0.0524,0
11:43:11,59854,16.4740,0.0524,0
11:43:16,59900,17.3530,0.0524,0
11:43:21,59946,12.9660,0.0524,0
11:43:27,59977,9.1850,0.0524,0
11:43:32,60023,17.9840,0.0523,0
11:43:37,60052,10.1320,0.0523,0
11:43:42,60098,21.3640,0.0523,0
11:43:50,60142,18.6290,0.0523,0
11:43:55,60188,22.3360,0.0523,0
11:44:00,60213,4.6170,0.0523,0
11:44:05,60259,23.0560,0.0523,0
11:44:10,60284,3.1000,0.0523,0
11:44:15,60330,20.6060,0.0523,0
11:44:20,60355,4.3020,0.0523,0
11:44:27,60395,21.0500,0.0523,0
11:44:32,60441,22.1090,0.0523,0
11:44:38,60473,16.4370,0.0522,0
11:44:43,60519,14.7690,0.0522,0
11:44:48,60548,8.6580,0.0522,0
11:44:53,60594,17.2030,0.0522,0
11:44:58,60640,11.0040,0.0522,0
11:45:04,60674,12.6240,0.0522,0
11:45:09,60720,20.1280,0.0522,0
11:45:14,60745,3.7210,0.0522,0
11:45:19,60791,18.6740,0.0522,0
11:45:24,60837,14.7810,0.0522,0
11:45:30,60862,7.6320,0.0522,0
11:45:35,60908,19.9940,0.0522,0
11:45:40,60933,10.9360,0.0521,0
11:45:45,60962,12.2670,0.0521,0
11:45:52,60999,10.0730,0.0521,0
11:45:57,61045,14.3500,0.0521,0
11:46:02,61091,14.8290,0.0521,0
11:46:08,61125,11.0360,0.0521,0
11:46:13,61171,13.7570,0.0521,0
11:46:18,61217,17.2030,0.0521,0
11:46:23,61242,9.4580,0.0521,0
11:46:28,61288,18.1590,0.0521,0
11:46:33,61334,13.5740,0.0521,0
11:46:38,61358,11.2440,0.0521,0
11:46:43,61404,16.6440,0.0520,0
11:46:48,61450,17.0190,0.0520,0
11:46:53,61475,8.8330,0.0520,0
11:46:58,61521,20.2310,0.0520,0
11:47:03,61546,11.2870,0.0520,0
11:47:08,61592,16.2650,0.0520,0
11:47:15,61634,12.5960,0.0520,0
11:47:20,61680,14.7450,0.0520,0
11:47:25,61726,16.9730,0.0520,0
11:47:30,61751,10.0450,0.0520,0
11:47:36,61776,8.4890,0.0520,0
11:47:41,61822,16.0020,0.0520,0
11:47:46,61847,10.1110,0.0520,0
11:47:51,61893,18.4730,0.0519,0
11:47:56,61918,11.6670,0.0519,0
